rank,gene,cell_type,compartment,logFC,pval_adj,specificity,fold_change,druggability,serum,clinical,biomarker_score,priority_tier,translational,rationale
1,TREM2,SAMac_TREM2,Macrophage,4.2,1.00E-45,2,2,2,2,2,10,Tier1 high priority,"['Dx', 'Tx']",Defines the SAMac population. Serum TREM2 measurable by ELISA and correlates with fibrosis stage. Blocking strategies reduce fibrosis in preclinical models.
2,SPP1,SAMac_TREM2,Macrophage,5.1,1.00E-52,2,2,1,2,2,9,Tier1 high priority,['Dx'],Secreted phosphoprotein. Elevated serum levels in cirrhosis across multiple cohorts. Promotes HSC activation via CD44.
3,COL1A1,SAMes_myofibroblast,Mesenchymal,6.2,1.00E-80,2,2,2,1,2,9,Tier1 high priority,['Tx'],Canonical fibrosis gene. ASO and small molecule strategies targeting collagen production in development. PINP propeptide measurable in serum.
4,PDGFRA,SAMes_myofibroblast,Mesenchymal,3.7,1.00E-35,2,2,2,1,2,9,Tier1 high priority,['Tx'],PDGF receptor alpha on myofibroblasts. Imatinib class inhibitors available. PDGFRalpha cell frequency correlates with histological fibrosis stage.
5,GPNMB,SAMac_TREM2,Macrophage,3.6,1.00E-32,2,2,2,2,1,9,Tier1 high priority,"['Dx', 'Tx']",Glycoprotein NMB. Serum and plasma detectable. Anti-GPNMB ADC in clinical trials for other indications making it a repurposing candidate.
6,ACKR1,SAEndo_ACKR1,Endothelial,4.6,1.00E-40,2,2,1,1,2,8,Tier2 promising,"['Dx', 'Tx']",Defines scar associated endothelium. IHC marker of fibrotic septa. Modulates leukocyte trafficking.
7,LGALS3,SAMac_TREM2,Macrophage,2.9,1.00E-28,1,1,2,2,2,8,Tier2 promising,"['Dx', 'Tx']",Galectin 3. FDA cleared serum biomarker for cardiac fibrosis. Inhibitor belapectin in Phase 2/3 for NASH cirrhosis.
8,ICAM1,SAEndo_ACKR1,Endothelial,2.6,1.00E-22,1,1,2,2,2,8,Tier2 promising,"['Dx', 'Tx']",Soluble ICAM1 measurable in plasma. Correlates with inflammatory activity in cirrhosis.
9,LOXL2,SAMes_myofibroblast,Mesenchymal,3.1,1.00E-26,2,2,2,1,1,8,Tier2 promising,['Tx'],Crosslinks collagen and promotes ECM stiffness. Simtuzumab failed Phase 3 but next generation small molecule inhibitors are in development.
10,TIMP1,SAMes_myofibroblast,Mesenchymal,3.5,1.00E-30,1,2,1,2,2,8,Tier2 promising,['Dx'],Inhibits MMP mediated ECM resolution. Serum TIMP1 is a component of the ELF score which is FDA cleared.
11,TNFSF12,SAMac_TREM2,Macrophage,3.3,1.00E-29,2,2,2,1,1,8,Tier2 promising,['Tx'],TWEAK cytokine. Key SAMac to HSC paracrine signal via Fn14. Anti-TWEAK antibody blocks HSC activation in experimental fibrosis.
12,CCL2,SAEndo_ACKR1,Endothelial,3.3,1.00E-28,1,2,2,2,1,8,Tier2 promising,['Tx'],Drives CCR2 positive monocyte recruitment feeding SAMac expansion. Cenicriviroc validated this axis in Phase 3.
13,PLVAP,SAEndo_ACKR1,Endothelial,4.1,1.00E-38,2,2,1,1,1,7,Tier2 promising,['Dx'],Capillarization marker co expressed with ACKR1. Detectable by IHC. Potential imaging target.
14,MMP2,SAMes_myofibroblast,Mesenchymal,2.8,1.00E-24,1,1,1,2,2,7,Tier2 promising,['Dx'],Collagen IV remodeling enzyme. Serum MMP2 used in fibrosis indices.
15,FN1,SAMes_myofibroblast,Mesenchymal,4.1,1.00E-36,1,2,1,1,1,6,Tier3 exploratory,['Tx'],Fibronectin 1. Core ECM scaffold. EDA-FN isoform is fibrosis specific. Targeted drug conjugates in early development.
